win_size,filters_conv_1,kernel_size_conv_1[0],kernel_size_conv_1[1],activation_conv_1,pool_size_1[0],pool_type_1,filters_conv_2,kernel_size_conv_2[0],activation_conv_2,dense_neurons,dense_activation,optimizer,loss,w2,w3,w4,h4,score
333,39,92,2,swish,6,max,15,25,relu,814,relu,sgd,mean_squared_error,242,40,16,4,-1
310,42,77,2,swish,54,max,14,2,relu,149,tanh,sgd,mean_squared_error,234,4,3,4,0.7385568669606263
284,47,79,2,swish,1,max,14,41,relu,1194,relu,sgd,mean_squared_error,206,206,166,4,-1
124,43,29,2,swish,2,max,15,27,relu,789,relu,sgd,mean_squared_error,96,48,22,4,-1
267,40,61,2,swish,5,max,12,26,relu,734,relu,sgd,mean_squared_logarithmic_error,207,41,16,4,0.5495028383498055
406,41,122,2,linear,11,average,15,23,linear,160,relu,sgd,mean_absolute_error,285,25,3,4,0.7598241145525518
344,44,91,2,tanh,8,max,14,28,relu,186,relu,sgd,mean_squared_error,254,31,4,4,-1
483,41,97,2,swish,19,average,16,16,relu,282,relu,sgd,mean_squared_error,387,20,5,4,-1
445,42,93,2,swish,23,average,16,7,relu,482,relu,sgd,mean_squared_error,353,15,9,4,-1
300,40,80,2,swish,34,average,15,4,relu,113,relu,sgd,mean_squared_error,221,6,3,4,-1
494,41,99,2,swish,15,average,15,24,tanh,27,relu,adadelta,mean_squared_error,396,26,3,4,0.9752058543361577
318,38,101,2,swish,4,average,15,30,relu,832,relu,sgd,mean_squared_error,218,54,25,4,-1
420,42,103,2,swish,13,max,16,22,relu,168,relu,sgd,mean_squared_error,318,24,3,4,-1
455,43,127,2,swish,26,max,7,9,relu,99,relu,adam,mean_squared_error,329,12,4,4,0.7841173525541106
499,43,100,2,swish,150,max,13,1,relu,91,relu,sgd,mean_squared_error,400,2,2,4,-1
327,40,89,3,relu,39,max,15,4,relu,121,relu,sgd,mean_absolute_percentage_error,239,6,3,3,0.5897392363789865
